FIPS,abbr,full,pop_est_2015
18133,IN,Putnam County,"37,585"
18135,IN,Randolph County,"25,172"
18137,IN,Ripley County,"28,701"
18139,IN,Rush County,"16,672"
18141,IN,St. Joseph County,"268,441"
18143,IN,Scott County,"23,744"
18145,IN,Shelby County,"44,478"
18147,IN,Spencer County,"20,715"
18149,IN,Starke County,"22,958"
18151,IN,Steuben County,"34,372"
18153,IN,Sullivan County,"20,928"
18155,IN,Switzerland County,"10,524"
18157,IN,Tippecanoe County,"185,826"
18159,IN,Tipton County,"15,267"
18161,IN,Union County,"7,182"
18163,IN,Vanderburgh County,"181,877"
18165,IN,Vermillion County,"15,692"
18167,IN,Vigo County,"107,896"
18169,IN,Wabash County,"32,138"
18171,IN,Warren County,"8,269"
18173,IN,Warrick County,"61,897"
18175,IN,Washington County,"27,827"
18177,IN,Wayne County,"67,001"
18179,IN,Wells County,"27,964"
18181,IN,White County,"24,293"
18183,IN,Whitley County,"33,406"
19001,IA,Adair County,"7,228"
19003,IA,Adams County,"3,796"
19005,IA,Allamakee County,"13,886"
19007,IA,Appanoose County,"12,529"
19009,IA,Audubon County,"5,773"
19011,IA,Benton County,"25,658"
19013,IA,Black Hawk County,"133,455"
19015,IA,Boone County,"26,643"
19017,IA,Bremer County,"24,722"
19019,IA,Buchanan County,"21,062"
19021,IA,Buena Vista County,"20,493"
19023,IA,Butler County,"14,915"
19025,IA,Calhoun County,"9,818"
19027,IA,Carroll County,"20,498"
19029,IA,Cass County,"13,427"
19031,IA,Cedar County,"18,340"
19033,IA,Cerro Gordo County,"43,017"
19035,IA,Cherokee County,"11,574"
19037,IA,Chickasaw County,"12,097"
19039,IA,Clarke County,"9,259"
19041,IA,Clay County,"16,507"
19043,IA,Clayton County,"17,644"
19045,IA,Clinton County,"47,768"
19047,IA,Crawford County,"17,094"
19049,IA,Dallas County,"80,133"
19051,IA,Davis County,"8,769"
19053,IA,Decatur County,"8,220"
19055,IA,Delaware County,"17,403"
19057,IA,Des Moines County,"40,055"
19059,IA,Dickinson County,"17,111"
19061,IA,Dubuque County,"97,125"
19063,IA,Emmet County,"9,769"
19065,IA,Fayette County,"20,257"
19067,IA,Floyd County,"15,960"
19069,IA,Franklin County,"10,295"
19071,IA,Fremont County,"6,906"
19073,IA,Greene County,"9,027"
19075,IA,Grundy County,"12,435"
19077,IA,Guthrie County,"10,676"
19079,IA,Hamilton County,"15,190"
19081,IA,Hancock County,"10,974"
19083,IA,Hardin County,"17,367"
19085,IA,Harrison County,"14,265"
19087,IA,Henry County,"19,950"
19089,IA,Howard County,"9,410"
19091,IA,Humboldt County,"9,555"
19093,IA,Ida County,"7,028"
19095,IA,Iowa County,"16,401"
19097,IA,Jackson County,"19,444"
19099,IA,Jasper County,"36,827"
19101,IA,Jefferson County,"17,555"
19103,IA,Johnson County,"144,251"
19105,IA,Jones County,"20,466"
19107,IA,Keokuk County,"10,163"
19109,IA,Kossuth County,"15,165"
19111,IA,Lee County,"35,089"
19113,IA,Linn County,"219,916"
19115,IA,Louisa County,"11,185"
19117,IA,Lucas County,"8,682"
19119,IA,Lyon County,"11,745"
19121,IA,Madison County,"15,753"
19123,IA,Mahaska County,"22,324"
19125,IA,Marion County,"33,294"
19127,IA,Marshall County,"40,746"
19129,IA,Mills County,"14,844"
19131,IA,Mitchell County,"10,832"
19133,IA,Monona County,"8,979"
19135,IA,Monroe County,"7,973"
19137,IA,Montgomery County,"10,234"
19139,IA,Muscatine County,"43,011"
19141,IA,O'Brien County,"13,984"
19143,IA,Osceola County,"6,154"
19145,IA,Page County,"15,527"
19147,IA,Palo Alto County,"9,133"
19149,IA,Plymouth County,"24,800"
19151,IA,Pocahontas County,"7,008"
19153,IA,Polk County,"467,711"
19155,IA,Pottawattamie County,"93,671"
19157,IA,Poweshiek County,"18,550"
19159,IA,Ringgold County,"5,068"
19161,IA,Sac County,"10,021"
19163,IA,Scott County,"172,126"
19165,IA,Shelby County,"11,927"
19167,IA,Sioux County,"34,937"
19169,IA,Story County,"96,021"
19171,IA,Tama County,"17,337"
19173,IA,Taylor County,"6,205"
19175,IA,Union County,"12,469"
19177,IA,Van Buren County,"7,344"
19179,IA,Wapello County,"35,173"
19181,IA,Warren County,"48,626"
19183,IA,Washington County,"22,247"
19185,IA,Wayne County,"6,385"
19187,IA,Webster County,"37,071"
19189,IA,Winnebago County,"10,609"
19191,IA,Winneshiek County,"20,709"
19193,IA,Woodbury County,"102,782"
19195,IA,Worth County,"7,569"
19197,IA,Wright County,"12,773"
20001,KS,Allen County,"12,717"
20003,KS,Anderson County,"7,808"
20005,KS,Atchison County,"16,398"
20007,KS,Barber County,"4,823"
20009,KS,Barton County,"27,103"
20011,KS,Bourbon County,"14,712"
20013,KS,Brown County,"9,776"
20015,KS,Butler County,"66,741"
20017,KS,Chase County,"2,679"
20019,KS,Chautauqua County,"3,402"
20021,KS,Cherokee County,"20,533"
20023,KS,Cheyenne County,"2,679"
20025,KS,Clark County,"2,096"
20027,KS,Clay County,"8,347"
20029,KS,Cloud County,"9,219"
20031,KS,Coffey County,"8,384"
20033,KS,Comanche County,"1,843"
20035,KS,Cowley County,"35,788"
20037,KS,Crawford County,"39,217"
20039,KS,Decatur County,"2,932"
20041,KS,Dickinson County,"19,303"
20043,KS,Doniphan County,"7,797"
20045,KS,Douglas County,"118,053"
20047,KS,Edwards County,"2,968"
20049,KS,Elk County,"2,605"
20051,KS,Ellis County,"29,029"
20053,KS,Ellsworth County,"6,343"
20055,KS,Finney County,"37,118"
20057,KS,Ford County,"34,536"
20059,KS,Franklin County,"25,609"
20061,KS,Geary County,"37,030"
20063,KS,Gove County,"2,640"
20065,KS,Graham County,"2,591"
20067,KS,Grant County,"7,733"
20069,KS,Gray County,"6,133"
20071,KS,Greeley County,"1,330"
20073,KS,Greenwood County,"6,244"
20075,KS,Hamilton County,"2,474"
20077,KS,Harper County,"5,817"
20079,KS,Harvey County,"35,073"
20081,KS,Haskell County,"4,064"
20083,KS,Hodgeman County,"1,893"
20085,KS,Jackson County,"13,338"
20087,KS,Jefferson County,"18,930"
20089,KS,Jewell County,"2,970"
20091,KS,Johnson County,"580,159"
20093,KS,Kearny County,"3,956"
20095,KS,Kingman County,"7,687"
20097,KS,Kiowa County,"2,564"
20099,KS,Labette County,"20,803"
20101,KS,Lane County,"1,670"
20103,KS,Leavenworth County,"79,315"
20105,KS,Lincoln County,"3,105"
20107,KS,Linn County,"9,536"
20109,KS,Logan County,"2,825"
20111,KS,Lyon County,"33,339"
20113,KS,McPherson County,"28,941"
20115,KS,Marion County,"12,103"
20117,KS,Marshall County,"9,936"
20119,KS,Meade County,"4,330"
20121,KS,Miami County,"32,553"
20123,KS,Mitchell County,"6,282"
20125,KS,Montgomery County,"33,314"
20127,KS,Morris County,"5,645"
20129,KS,Morton County,"3,007"
20131,KS,Nemaha County,"10,227"
20133,KS,Neosho County,"16,346"
20135,KS,Ness County,"3,005"
20137,KS,Norton County,"5,550"
20139,KS,Osage County,"15,847"
20141,KS,Osborne County,"3,683"
20143,KS,Ottawa County,"5,975"
20145,KS,Pawnee County,"6,838"
20147,KS,Phillips County,"5,428"
20149,KS,Pottawatomie County,"23,298"
20151,KS,Pratt County,"9,691"
20153,KS,Rawlins County,"2,506"
20155,KS,Reno County,"63,718"
20157,KS,Republic County,"4,725"
20159,KS,Rice County,"9,977"
20161,KS,Riley County,"75,247"
20163,KS,Rooks County,"5,174"
20165,KS,Rush County,"3,130"
20167,KS,Russell County,"7,039"
20169,KS,Saline County,"55,691"
20171,KS,Scott County,"4,964"
20173,KS,Sedgwick County,"511,574"
20175,KS,Seward County,"23,152"
20177,KS,Shawnee County,"178,725"
20179,KS,Sheridan County,"2,512"
20181,KS,Sherman County,"5,983"
20183,KS,Smith County,"3,704"
20185,KS,Stafford County,"4,236"
20187,KS,Stanton County,"2,072"
20189,KS,Stevens County,"5,806"
20191,KS,Sumner County,"23,535"
20193,KS,Thomas County,"7,904"
20195,KS,Trego County,"2,927"
20197,KS,Wabaunsee County,"6,951"
20199,KS,Wallace County,"1,518"
20201,KS,Washington County,"5,598"
20203,KS,Wichita County,"2,157"
20205,KS,Wilson County,"8,856"
20207,KS,Woodson County,"3,115"
20209,KS,Wyandotte County,"163,369"
21001,KY,Adair County,"19,027"
21003,KY,Allen County,"20,640"
21005,KY,Anderson County,"21,979"
21007,KY,Ballard County,"8,212"
21009,KY,Barren County,"43,570"
21011,KY,Bath County,"12,228"
21013,KY,Bell County,"27,337"
21015,KY,Boone County,"127,712"
21017,KY,Bourbon County,"20,116"
21019,KY,Boyd County,"48,325"
21021,KY,Boyle County,"29,809"
21023,KY,Bracken County,"8,321"
21025,KY,Breathitt County,"13,484"
21027,KY,Breckinridge County,"20,018"
21029,KY,Bullitt County,"78,702"
21031,KY,Butler County,"12,938"
21033,KY,Caldwell County,"12,681"
21035,KY,Calloway County,"38,343"
21037,KY,Campbell County,"92,066"
21039,KY,Carlisle County,"4,874"
21041,KY,Carroll County,"10,699"
21043,KY,Carter County,"27,158"
21045,KY,Casey County,"15,808"
21047,KY,Christian County,"73,309"
21049,KY,Clark County,"35,757"
21051,KY,Clay County,"21,013"
21053,KY,Clinton County,"10,174"
21055,KY,Crittenden County,"9,183"
21057,KY,Cumberland County,"6,759"
21059,KY,Daviess County,"99,259"
21061,KY,Edmonson County,"12,007"
21063,KY,Elliott County,"7,648"
21065,KY,Estill County,"14,375"
21067,KY,Fayette County,"314,488"
21069,KY,Fleming County,"14,637"
21071,KY,Floyd County,"37,756"
21073,KY,Franklin County,"50,375"
21075,KY,Fulton County,"6,238"
21077,KY,Gallatin County,"8,636"
21079,KY,Garrard County,"17,237"
21081,KY,Grant County,"24,757"
21083,KY,Graves County,"37,421"
21085,KY,Grayson County,"26,221"
21087,KY,Green County,"11,010"
21089,KY,Greenup County,"36,068"
21091,KY,Hancock County,"8,692"
21093,KY,Hardin County,"106,439"
21095,KY,Harlan County,"27,703"
21097,KY,Harrison County,"18,763"
21099,KY,Hart County,"18,454"
21101,KY,Henderson County,"46,407"
21103,KY,Henry County,"15,620"
21105,KY,Hickman County,"4,612"
21107,KY,Hopkins County,"46,222"
21109,KY,Jackson County,"13,352"
21111,KY,Jefferson County,"763,623"
21113,KY,Jessamine County,"51,961"
21115,KY,Johnson County,"23,175"
21117,KY,Kenton County,"165,012"
21119,KY,Knott County,"15,693"
21121,KY,Knox County,"31,730"
21123,KY,Larue County,"14,241"
21125,KY,Laurel County,"60,094"
21127,KY,Lawrence County,"15,745"
21129,KY,Lee County,"6,752"
21131,KY,Leslie County,"10,711"
21133,KY,Letcher County,"23,123"
21135,KY,Lewis County,"13,682"
21137,KY,Lincoln County,"24,463"
21139,KY,Livingston County,"9,316"
21141,KY,Logan County,"26,910"
21143,KY,Lyon County,"8,306"
21145,KY,McCracken County,"65,018"
21147,KY,McCreary County,"17,878"
21149,KY,McLean County,"9,512"
21151,KY,Madison County,"87,824"
21153,KY,Magoffin County,"12,808"
21155,KY,Marion County,"19,365"
21157,KY,Marshall County,"31,101"
21159,KY,Martin County,"12,307"
21161,KY,Mason County,"17,099"
21163,KY,Meade County,"27,924"
21165,KY,Menifee County,"6,358"
21167,KY,Mercer County,"21,407"
21169,KY,Metcalfe County,"9,909"
21171,KY,Monroe County,"10,667"
21173,KY,Montgomery County,"27,608"
21175,KY,Morgan County,"13,275"
21177,KY,Muhlenberg County,"31,183"
21179,KY,Nelson County,"45,126"
21181,KY,Nicholas County,"7,131"
21183,KY,Ohio County,"24,216"
21185,KY,Oldham County,"64,875"
21187,KY,Owen County,"10,730"
21189,KY,Owsley County,"4,461"
21191,KY,Pendleton County,"14,408"
21193,KY,Perry County,"27,565"
21195,KY,Pike County,"61,792"
21197,KY,Powell County,"12,269"
21199,KY,Pulaski County,"63,782"
21201,KY,Robertson County,"2,138"
21203,KY,Rockcastle County,"16,942"
21205,KY,Rowan County,"23,892"
21207,KY,Russell County,"17,662"
21209,KY,Scott County,"52,420"
21211,KY,Shelby County,"45,632"
21213,KY,Simpson County,"18,006"
21215,KY,Spencer County,"17,894"
21217,KY,Taylor County,"25,420"
21219,KY,Todd County,"12,531"
21221,KY,Trigg County,"14,233"
21223,KY,Trimble County,"8,769"
21225,KY,Union County,"15,050"
21227,KY,Warren County,"122,851"
21229,KY,Washington County,"12,063"
21231,KY,Wayne County,"20,464"
21233,KY,Webster County,"13,170"
21235,KY,Whitley County,"36,129"
21237,KY,Wolfe County,"7,259"
21239,KY,Woodford County,"25,793"
22001,LA,Acadia Parish,"62,577"
22003,LA,Allen Parish,"25,683"
22005,LA,Ascension Parish,"119,455"
22007,LA,Assumption Parish,"22,842"
22009,LA,Avoyelles Parish,"41,103"
22011,LA,Beauregard Parish,"36,462"
22013,LA,Bienville Parish,"13,786"
22015,LA,Bossier Parish,"125,175"
22017,LA,Caddo Parish,"251,460"
22019,LA,Calcasieu Parish,"198,788"
22021,LA,Caldwell Parish,"9,993"
22023,LA,Cameron Parish,"6,817"
22025,LA,Catahoula Parish,"10,147"
22027,LA,Claiborne Parish,"16,295"
22029,LA,Concordia Parish,"20,142"
22031,LA,De Soto Parish,"27,052"
22033,LA,East Baton Rouge Parish,"446,753"
22035,LA,East Carroll Parish,"7,307"
22037,LA,East Feliciana Parish,"19,696"
22039,LA,Evangeline Parish,"33,743"
22041,LA,Franklin Parish,"20,410"
22043,LA,Grant Parish,"22,343"
22045,LA,Iberia Parish,"74,103"
22047,LA,Iberville Parish,"33,095"
22049,LA,Jackson Parish,"15,858"
22051,LA,Jefferson Parish,"436,275"
22053,LA,Jefferson Davis Parish,"31,439"
22055,LA,Lafayette Parish,"240,098"
22057,LA,Lafourche Parish,"98,325"
22059,LA,LaSalle Parish,"14,974"
22061,LA,Lincoln Parish,"47,774"
22063,LA,Livingston Parish,"137,788"
22065,LA,Madison Parish,"11,514"
22067,LA,Morehouse Parish,"26,395"
22069,LA,Natchitoches Parish,"39,179"
22071,LA,Orleans Parish,"389,617"
22073,LA,Ouachita Parish,"156,761"
22075,LA,Plaquemines Parish,"23,495"
22077,LA,Pointe Coupee Parish,"22,251"
22079,LA,Rapides Parish,"132,141"
22081,LA,Red River Parish,"8,593"
22083,LA,Richland Parish,"20,523"
22085,LA,Sabine Parish,"24,186"
22087,LA,St. Bernard Parish,"45,408"
22089,LA,St. Charles Parish,"52,812"
22091,LA,St. Helena Parish,"10,567"
22093,LA,St. James Parish,"21,567"
22095,LA,St. John the Baptist Parish,"43,626"
22097,LA,St. Landry Parish,"83,848"
22099,LA,St. Martin Parish,"53,835"
22101,LA,St. Mary Parish,"52,810"
22103,LA,St. Tammany Parish,"250,088"
22105,LA,Tangipahoa Parish,"128,755"
22107,LA,Tensas Parish,"4,740"
22109,LA,Terrebonne Parish,"113,972"
22111,LA,Union Parish,"22,477"
22113,LA,Vermilion Parish,"59,875"
22115,LA,Vernon Parish,"50,803"
22117,LA,Washington Parish,"46,371"
22119,LA,Webster Parish,"40,021"
22121,LA,West Baton Rouge Parish,"25,490"
22123,LA,West Carroll Parish,"11,293"
22125,LA,West Feliciana Parish,"15,385"
22127,LA,Winn Parish,"14,568"
23001,ME,Androscoggin County,"107,233"
23003,ME,Aroostook County,"68,628"
23005,ME,Cumberland County,"289,977"
23007,ME,Franklin County,"29,991"
23009,ME,Hancock County,"54,659"
23011,ME,Kennebec County,"119,980"
23013,ME,Knox County,"39,855"
23015,ME,Lincoln County,"33,969"
23017,ME,Oxford County,"57,202"
23019,ME,Penobscot County,"152,692"
23021,ME,Piscataquis County,"16,931"
23023,ME,Sagadahoc County,"35,149"
23025,ME,Somerset County,"51,113"
23027,ME,Waldo County,"39,155"
23029,ME,Washington County,"31,625"
23031,ME,York County,"201,169"
24001,MD,Allegany County,"72,528"
24003,MD,Anne Arundel County,"564,195"
24005,MD,Baltimore County,"831,128"
24009,MD,Calvert County,"90,595"
24011,MD,Caroline County,"32,579"
24013,MD,Carroll County,"167,627"
24015,MD,Cecil County,"102,382"
24017,MD,Charles County,"156,118"
24019,MD,Dorchester County,"32,384"
24021,MD,Frederick County,"245,322"
24023,MD,Garrett County,"29,460"
24025,MD,Harford County,"250,290"
24027,MD,Howard County,"313,414"
24029,MD,Kent County,"19,787"
24031,MD,Montgomery County,"1,040,116"
24033,MD,Prince George's County,"909,535"
24035,MD,Queen Anne's County,"48,904"
24037,MD,St. Mary's County,"111,413"
24039,MD,Somerset County,"25,768"
24041,MD,Talbot County,"37,512"
24043,MD,Washington County,"149,585"
24045,MD,Wicomico County,"102,370"
24047,MD,Worcester County,"51,540"
24510,MD,Baltimore city,"621,849"
25001,MA,Barnstable County,"214,333"
25003,MA,Berkshire County,"127,828"
25005,MA,Bristol County,"556,772"
25007,MA,Dukes County,"17,299"
25009,MA,Essex County,"776,043"
25011,MA,Franklin County,"70,601"
25013,MA,Hampden County,"470,690"
25015,MA,Hampshire County,"161,292"
25017,MA,Middlesex County,"1,585,139"
25019,MA,Nantucket County,"10,925"
25021,MA,Norfolk County,"696,023"
25023,MA,Plymouth County,"510,393"
25025,MA,Suffolk County,"778,121"
25027,MA,Worcester County,"818,963"
26001,MI,Alcona County,"10,349"
26003,MI,Alger County,"9,383"
26005,MI,Allegan County,"114,625"
26007,MI,Alpena County,"28,803"
26009,MI,Antrim County,"23,154"
26011,MI,Arenac County,"15,261"
26013,MI,Baraga County,"8,575"
26015,MI,Barry County,"59,314"
26017,MI,Bay County,"105,659"
26019,MI,Benzie County,"17,457"
26021,MI,Berrien County,"154,636"
26023,MI,Branch County,"43,664"
26025,MI,Calhoun County,"134,314"
26027,MI,Cass County,"51,657"
26029,MI,Charlevoix County,"26,238"
26031,MI,Cheboygan County,"25,427"
26033,MI,Chippewa County,"38,033"
26035,MI,Clare County,"30,553"
26037,MI,Clinton County,"77,390"
26039,MI,Crawford County,"13,801"
26041,MI,Delta County,"36,377"
26043,MI,Dickinson County,"25,788"
26045,MI,Eaton County,"108,801"
26047,MI,Emmet County,"33,161"
26049,MI,Genesee County,"410,849"
26051,MI,Gladwin County,"25,164"
26053,MI,Gogebic County,"15,431"
26055,MI,Grand Traverse County,"91,636"
26057,MI,Gratiot County,"41,540"
26059,MI,Hillsdale County,"45,941"
26061,MI,Houghton County,"36,380"
26063,MI,Huron County,"31,883"
26065,MI,Ingham County,"286,085"
26067,MI,Ionia County,"64,223"
26069,MI,Iosco County,"25,345"
26071,MI,Iron County,"11,348"
26073,MI,Isabella County,"70,698"
26075,MI,Jackson County,"159,494"
26077,MI,Kalamazoo County,"260,263"
26079,MI,Kalkaska County,"17,260"
26081,MI,Kent County,"636,369"
26083,MI,Keweenaw County,"2,168"
26085,MI,Lake County,"11,424"
26087,MI,Lapeer County,"88,373"
26089,MI,Leelanau County,"21,981"
26091,MI,Lenawee County,"98,573"
26093,MI,Livingston County,"187,316"
26095,MI,Luce County,"6,415"
26097,MI,Mackinac County,"10,890"
26099,MI,Macomb County,"864,840"
26101,MI,Manistee County,"24,461"
26103,MI,Marquette County,"67,215"
26105,MI,Mason County,"28,783"
26107,MI,Mecosta County,"43,067"
26109,MI,Menominee County,"23,548"
26111,MI,Midland County,"83,632"
26113,MI,Missaukee County,"14,903"
26115,MI,Monroe County,"149,568"
26117,MI,Montcalm County,"62,945"
26119,MI,Montmorency County,"9,259"
26121,MI,Muskegon County,"172,790"
26123,MI,Newaygo County,"47,948"
26125,MI,Oakland County,"1,242,304"
26127,MI,Oceana County,"26,105"
26129,MI,Ogemaw County,"20,937"
26131,MI,Ontonagon County,"6,007"
26133,MI,Osceola County,"23,058"
26135,MI,Oscoda County,"8,251"
26137,MI,Otsego County,"24,253"
26139,MI,Ottawa County,"279,955"
26141,MI,Presque Isle County,"12,841"
26143,MI,Roscommon County,"23,898"
26145,MI,Saginaw County,"193,307"
26147,MI,St. Clair County,"159,875"
26149,MI,St. Joseph County,"61,018"
26151,MI,Sanilac County,"41,475"
26153,MI,Schoolcraft County,"8,173"
26155,MI,Shiawassee County,"68,619"
26157,MI,Tuscola County,"53,777"
26159,MI,Van Buren County,"75,077"
26161,MI,Washtenaw County,"358,880"
26163,MI,Wayne County,"1,759,335"
26165,MI,Wexford County,"33,003"
27001,MN,Aitkin County,"15,702"
27003,MN,Anoka County,"344,151"
27005,MN,Becker County,"33,386"
27007,MN,Beltrami County,"45,672"
27009,MN,Benton County,"39,710"
27011,MN,Big Stone County,"5,040"
27013,MN,Blue Earth County,"65,787"
27015,MN,Brown County,"25,313"
27017,MN,Carlton County,"35,569"
27019,MN,Carver County,"98,741"
27021,MN,Cass County,"28,706"
27023,MN,Chippewa County,"12,109"
27025,MN,Chisago County,"54,293"
27027,MN,Clay County,"62,324"
27029,MN,Clearwater County,"8,803"
27031,MN,Cook County,"5,194"
27033,MN,Cottonwood County,"11,549"
27035,MN,Crow Wing County,"63,428"
27037,MN,Dakota County,"414,686"
27039,MN,Dodge County,"20,364"
27041,MN,Douglas County,"37,075"
27043,MN,Faribault County,"14,050"
27045,MN,Fillmore County,"20,834"
27047,MN,Freeborn County,"30,613"
27049,MN,Goodhue County,"46,435"
27051,MN,Grant County,"5,903"
27053,MN,Hennepin County,"1,223,149"
27055,MN,Houston County,"18,773"
27057,MN,Hubbard County,"20,655"
27059,MN,Isanti County,"38,429"
27061,MN,Itasca County,"45,435"
27063,MN,Jackson County,"10,079"
27065,MN,Kanabec County,"15,837"
27067,MN,Kandiyohi County,"42,542"
27069,MN,Kittson County,"4,424"
27071,MN,Koochiching County,"12,841"
27073,MN,Lac qui Parle County,"6,856"
27075,MN,Lake County,"10,631"
27077,MN,Lake of the Woods County,"3,923"
27079,MN,Le Sueur County,"27,663"
27081,MN,Lincoln County,"5,771"
27083,MN,Lyon County,"25,673"
27085,MN,McLeod County,"35,932"
27087,MN,Mahnomen County,"5,457"
27089,MN,Marshall County,"9,423"
27091,MN,Martin County,"20,022"
27093,MN,Meeker County,"23,102"
27095,MN,Mille Lacs County,"25,788"
27097,MN,Morrison County,"32,775"
27099,MN,Mower County,"39,116"
27101,MN,Murray County,"8,413"
27103,MN,Nicollet County,"33,347"
27105,MN,Nobles County,"21,770"
27107,MN,Norman County,"6,678"
27109,MN,Olmsted County,"151,436"
27111,MN,Otter Tail County,"57,716"
27113,MN,Pennington County,"14,219"
27115,MN,Pine County,"29,069"
27117,MN,Pipestone County,"9,271"
27119,MN,Polk County,"31,533"
27121,MN,Pope County,"11,041"
27123,MN,Ramsey County,"538,133"
27125,MN,Red Lake County,"4,055"
27127,MN,Redwood County,"15,471"
27129,MN,Renville County,"14,892"
27131,MN,Rice County,"65,400"
27133,MN,Rock County,"9,600"
27135,MN,Roseau County,"15,770"
27137,MN,St. Louis County,"200,431"
27139,MN,Scott County,"141,660"
27141,MN,Sherburne County,"91,705"
27143,MN,Sibley County,"14,875"
27145,MN,Stearns County,"154,708"
27147,MN,Steele County,"36,755"
27149,MN,Stevens County,"9,796"
27151,MN,Swift County,"9,340"
27153,MN,Todd County,"24,257"
27155,MN,Traverse County,"3,401"
27157,MN,Wabasha County,"21,239"
27159,MN,Wadena County,"13,875"
27161,MN,Waseca County,"18,989"
27163,MN,Washington County,"251,597"
27165,MN,Watonwan County,"10,952"
27167,MN,Wilkin County,"6,396"
27169,MN,Winona County,"50,885"
27171,MN,Wright County,"131,311"
27173,MN,Yellow Medicine County,"9,875"
28001,MS,Adams County,"31,254"
28003,MS,Alcorn County,"37,388"
28005,MS,Amite County,"12,574"
28007,MS,Attala County,"19,043"
28009,MS,Benton County,"8,182"
28011,MS,Bolivar County,"33,322"
28013,MS,Calhoun County,"14,717"
28015,MS,Carroll County,"10,243"
28017,MS,Chickasaw County,"17,328"
28019,MS,Choctaw County,"8,299"
28021,MS,Claiborne County,"9,150"
28023,MS,Clarke County,"16,006"
28025,MS,Clay County,"20,048"
28027,MS,Coahoma County,"24,620"
28029,MS,Copiah County,"28,773"
28031,MS,Covington County,"19,543"
28033,MS,DeSoto County,"173,323"
28035,MS,Forrest County,"75,944"
28037,MS,Franklin County,"7,743"
28039,MS,George County,"23,373"
28041,MS,Greene County,"13,522"
28043,MS,Grenada County,"21,578"
28045,MS,Hancock County,"46,420"
28047,MS,Harrison County,"201,410"
28049,MS,Hinds County,"242,891"
28051,MS,Holmes County,"18,340"
28053,MS,Humphreys County,"8,669"
28055,MS,Issaquena County,"1,337"
28057,MS,Itawamba County,"23,609"
28059,MS,Jackson County,"141,425"
28061,MS,Jasper County,"16,569"
28063,MS,Jefferson County,"7,507"
28065,MS,Jefferson Davis County,"11,665"
28067,MS,Jones County,"68,215"
28069,MS,Kemper County,"9,969"
28071,MS,Lafayette County,"53,154"
28073,MS,Lamar County,"60,618"
28075,MS,Lauderdale County,"78,524"
28077,MS,Lawrence County,"12,622"
28079,MS,Leake County,"22,763"
28081,MS,Lee County,"85,300"
28083,MS,Leflore County,"30,999"
28085,MS,Lincoln County,"34,649"
28087,MS,Lowndes County,"59,710"
28089,MS,Madison County,"103,465"
28091,MS,Marion County,"25,563"
28093,MS,Marshall County,"35,916"
28095,MS,Monroe County,"35,827"
28097,MS,Montgomery County,"10,152"
28099,MS,Neshoba County,"29,463"
28101,MS,Newton County,"21,747"
28103,MS,Noxubee County,"11,043"
28105,MS,Oktibbeha County,"49,800"
28107,MS,Panola County,"34,167"
28109,MS,Pearl River County,"55,191"
28111,MS,Perry County,"12,277"
28113,MS,Pike County,"39,956"
28115,MS,Pontotoc County,"30,908"
28117,MS,Prentiss County,"25,459"
28119,MS,Quitman County,"7,486"
28121,MS,Rankin County,"149,039"
28123,MS,Scott County,"28,265"
28125,MS,Sharkey County,"4,585"
28127,MS,Simpson County,"27,222"
28129,MS,Smith County,"16,059"
28131,MS,Stone County,"18,070"
28133,MS,Sunflower County,"27,005"
28135,MS,Tallahatchie County,"14,588"
28137,MS,Tate County,"28,296"
28139,MS,Tippah County,"22,131"
28141,MS,Tishomingo County,"19,552"
28143,MS,Tunica County,"10,343"
28145,MS,Union County,"28,429"
28147,MS,Walthall County,"14,638"
28149,MS,Warren County,"47,485"
28151,MS,Washington County,"48,130"
28153,MS,Wayne County,"20,566"
28155,MS,Webster County,"9,899"
28157,MS,Wilkinson County,"9,122"
28159,MS,Winston County,"18,317"
28161,MS,Yalobusha County,"12,447"
28163,MS,Yazoo County,"27,387"
29001,MO,Adair County,"25,378"
29003,MO,Andrew County,"17,296"
29005,MO,Atchison County,"5,306"
29007,MO,Audrain County,"26,096"
29009,MO,Barry County,"35,829"
29011,MO,Barton County,"11,880"
29013,MO,Bates County,"16,446"
29015,MO,Benton County,"18,670"
29017,MO,Bollinger County,"12,182"
29019,MO,Boone County,"174,974"
29021,MO,Buchanan County,"89,100"
29023,MO,Butler County,"42,951"
29025,MO,Caldwell County,"9,014"
29027,MO,Callaway County,"44,834"
29029,MO,Camden County,"44,237"
29031,MO,Cape Girardeau County,"78,572"
29033,MO,Carroll County,"8,992"
29035,MO,Carter County,"6,263"
29037,MO,Cass County,"101,603"
29039,MO,Cedar County,"13,934"
29041,MO,Chariton County,"7,589"
29043,MO,Christian County,"83,279"
29045,MO,Clark County,"6,801"
29047,MO,Clay County,"235,637"
29049,MO,Clinton County,"20,609"
29051,MO,Cole County,"76,720"
29053,MO,Cooper County,"17,642"
29055,MO,Crawford County,"24,526"
29057,MO,Dade County,"7,595"
29059,MO,Dallas County,"16,393"
29061,MO,Daviess County,"8,253"
29063,MO,DeKalb County,"12,687"
29065,MO,Dent County,"15,593"
29067,MO,Douglas County,"13,373"
29069,MO,Dunklin County,"30,895"
29071,MO,Franklin County,"102,426"
29073,MO,Gasconade County,"14,858"
29075,MO,Gentry County,"6,692"
29077,MO,Greene County,"288,072"
29079,MO,Grundy County,"10,097"
29081,MO,Harrison County,"8,615"
